query_id	NQC	UEF	RSD	OddsRatio	WIG	Scaled NQC	QV-NQC Variant	DenseQPP	SMV	Sigma_max	Sigma_x	max_dcg_value_mono_1000	max_dcg_value_mono_1000_depth	initial_splade_retrieved_dcg_value	mono_1000_reranked_all_dcg_value
1000391	140.42195	505.0405	17.424541	10.451907	15.197143	140.42195	140.42195	0.008780914	25.777468	2.614484	2.614484	9.365741965714069	14	8.728908924941097	9.365741965714067
1000709	37.93456	131.38763	2.2441978	8.666428	4.1884933	37.93456	37.93456	0.00976677	9.96482	1.3323935	1.0478494	6.118028709053716	23	5.710226004755012	5.784695375720383
1001153	15.255706	53.331203	1.414976	8.302294	11.888906	15.255706	15.255706	0.009709749	7.599375	1.1214432	1.0749098	11.954760380712608	10	11.684283383907852	10.674068553371885
1001443	49.625942	183.5968	10.6661825	12.998429	14.139773	49.625942	49.625942	0.008838815	15.590714	1.7745261	1.7745261	13.630678014265037	0	13.630678014265037	13.630678014265037
1001454	62.77169	220.72331	8.109528	9.861373	15.051708	62.77169	62.77169	0.009556853	14.978133	2.1442266	1.7449982	10.09730798763976	7	10.074434133865072	7.807661850762367
1002477	761.1215	2610.0889	78.648155	14.406965	13.705877	761.1215	761.1215	0.007912482	67.75653	4.9911633	4.646112	13.05254836162926	14	12.630678014265037	13.052548361629261
1002683	982.0963	3595.811	74.96009	20.800129	16.988617	982.0963	982.0963	0.012510866	84.41785	6.279465	4.9045925	7.499383452340195	22	7.138930695573494	7.353526150926011
1002767	435.39975	1443.7656	45.851368	14.759853	18.482191	435.39975	435.39975	0.007998106	51.595562	4.2339544	4.2339544	13.630678014265037	0	13.630678014265037	13.630678014265037
1003029	540.9333	1828.2301	35.8499	17.345419	16.316511	540.9333	540.9333	0.009683422	53.01653	4.7806606	4.0018635	10.801628235787604	15	9.440415651452495	10.182663651562239
1003138	57.533215	212.64513	7.4267097	6.8656	9.292735	57.533215	57.533215	0.00978188	13.947702	1.6710261	1.6710261	4.208254137500101	0	4.208254137500101	3.8927892607143724
