Percentile,Query ID,Predicted Depth,Reranked All Metric Value,Initial Metric Value,Maximum Metric Value,Depth of Maximum Metric Value,Bin,Metric Value At Predicted Depth,Ratio (Metric at Depth / Reranked All),Ratio (Metric at Depth / Maximum Metric Value)
10,323382,21,13.243825207030495,1.4764242656227708,13.630678014265037,331,0.00~2.88,4.366272617632265,0.32968364874782746,0.3203268841845424
10,15177,21,8.855590639448218,2.2201861405678747,8.855590639448218,140,0.00~2.88,5.431959749235439,0.6133932755471067,0.6133932755471067
10,857916,21,12.630678014265037,1.3770711884305795,12.669941124053397,267,0.00~2.88,3.0083530769113356,0.23817827305182776,0.23744017809207438
10,1098851,21,5.024407690378696,2.1359351507985416,5.024407690378696,79,0.00~2.88,3.699722543579865,0.7363499882114488,0.7363499882114488
10,1084129,21,9.942135293389963,2.5450210462592917,9.942135293389963,534,0.00~2.88,8.91001047272951,0.8961868059322566,0.8961868059322566
10,1040694,21,3.18945462469975,2.2430599943425635,3.18945462469975,774,0.00~2.88,0.9642630869047908,0.3023285170566002,0.3023285170566002
10,424474,21,1.2317065537373744,2.5070698857492903,2.9671660104124484,56,0.00~2.88,1.9671660104124489,1.5971060675478794,0.6629780752102254
10,897497,21,10.366754018599917,2.616683593497037,10.553446251603688,428,0.00~2.88,6.784647465175999,0.6544620864933285,0.6428845424919857
10,390135,21,12.051203246072582,0.7430599943425638,12.051203246072582,204,0.00~2.88,1.6309297535714575,0.1353333538792459,0.1353333538792459
10,1032081,21,3.0070698857492903,1.6309297535714575,3.538553940861261,288,0.00~2.88,2.4642630869047912,0.8194897958917092,0.6964039910339774
10,1046828,21,3.7533279132226793,2.5742908539564704,4.455645597242949,15,0.00~2.88,4.1342774332557095,1.1014964662935458,0.9278739394834062
10,1071513,21,7.911201042624262,2.248205923381328,7.911201042624262,427,0.00~2.88,6.47776209285489,0.8188089340611828,0.8188089340611828
10,996175,21,9.604674530738142,1.1430909322894374,9.604674530738142,925,0.00~2.88,3.821801375719243,0.3979105552705833,0.3979105552705833
10,443015,21,7.254861749826684,2.730196935022043,7.254861749826684,973,0.00~2.88,4.212469010286118,0.5806408385916868,0.5806408385916868
10,1093490,21,8.23109000607757,2.8332474375917283,8.23109000607757,776,0.00~2.88,2.1099418713100744,0.2563380876350716,0.2563380876350716
10,252269,21,4.850671137962738,2.0,5.166136014748467,848,0.00~2.88,3.907131520568825,0.8054826660975833,0.7562966808103017
10,1090039,21,8.456219619477894,1.5,8.617357525323836,358,0.00~2.88,4.892789260714372,0.5786024347622685,0.5677830177448165
10,576286,21,8.181558977409093,2.6158715992642154,8.181558977409093,439,0.00~2.88,5.885424265341916,0.7193524219030554,0.7193524219030554
10,567974,21,10.772998914947642,2.6343633289973147,10.772998914947642,531,0.00~2.88,4.04874325232433,0.3758232303083832,0.3758232303083832
10,987567,21,12.86666812285831,1.0,13.274470827157014,199,0.00~2.88,5.130929753571458,0.3987768787209248,0.3865261237438228
10,1085310,21,9.436348598802718,2.362636307308832,9.472085511897928,48,0.00~2.88,3.953464516106477,0.41896126183893756,0.4173805769743646
